"","LotFrontage","YearBuilt","LotArea","MoSold","YrSold","SalePrice","TotalBsmtSF","1stFlrSF","Neighborhood","School"
"1",141,1960,31770,5,2010,215000,1080,1656,"NAmes","Northwood"
"2",NA,1954,11027,5,2006,149900,1178,1293,"NAmes","Northwood"
"3",85,1956,10533,8,2006,157500,1008,1024,"NAmes","Northwood"
"4",74,1956,13008,10,2009,124500,882,882,"NAmes","Northwood"
"5",NA,1957,11765,6,2006,169000,1617,1797,"NAmes","Northwood"
"6",NA,1957,39384,10,2006,252000,1705,1390,"NAmes","Northwood"
"7",80,1961,11622,6,2010,105000,882,896,"NAmes","Northwood"
"8",81,1958,14267,6,2010,172000,1329,1329,"NAmes","Northwood"
"9",87,1958,11029,5,2008,176500,1184,1414,"NAmes","Northwood"
"10",85,1974,10200,6,2009,157000,1434,1434,"NAmes","Northwood"
"11",85,1971,10667,3,2007,167300,1587,1587,"NAmes","Northwood"
"12",85,1970,10628,4,2007,167000,1277,1277,"NAmes","Northwood"
"13",93,1968,11160,4,2010,244000,2110,2110,"NAmes","Northwood"
"14",NA,1970,12925,5,2008,237500,1205,2117,"NAmes","Northwood"
"15",90,1969,11727,3,2006,192100,1851,1851,"NAmes","Northwood"
"16",85,1969,11075,6,2008,206900,952,1092,"NAmes","Northwood"
"17",75,1972,13860,7,2009,345000,1952,2000,"NAmes","Northwood"
"18",95,1973,13651,2,2007,244000,2223,2223,"NAmes","Northwood"
"19",95,1970,15865,10,2007,268000,2217,2217,"NAmes","Northwood"
"20",74,1997,13830,3,2010,189900,928,928,"Gilbert","High"
"21",78,1998,9978,6,2010,195500,926,926,"Gilbert","High"
"22",72,1997,8702,4,2008,187500,926,926,"Gilbert","High"
"23",60,1997,8238,5,2006,183500,813,813,"Gilbert","High"
"24",88,1997,10179,7,2009,189500,945,945,"Gilbert","High"
"25",NA,2003,11792,8,2009,270000,1008,1008,"Gilbert","High"
"26",NA,2003,12394,10,2007,225000,847,847,"Gilbert","High"
"27",NA,1997,13006,11,2006,222000,964,993,"Gilbert","Fellows"
"28",65,1995,8139,10,2008,165000,680,680,"Gilbert","Fellows"
"29",59,1998,9535,5,2008,195500,926,926,"Gilbert","Fellows"
"30",59,1998,9042,7,2008,192000,943,943,"Gilbert","Fellows"
"31",NA,1996,15038,11,2008,173000,916,916,"Gilbert","Fellows"
"32",NA,1995,13041,2,2006,170000,781,781,"Gilbert","Fellows"
"33",NA,1995,13031,7,2006,187500,691,691,"Gilbert","Fellows"
"34",NA,1995,10364,5,2007,168000,806,806,"Gilbert","Fellows"
"35",53,1996,14137,11,2008,177900,1348,1384,"Gilbert","Fellows"
"36",54,1996,9783,5,2006,202000,821,821,"Gilbert","Fellows"
"37",60,1996,8400,6,2009,189000,384,958,"Gilbert","Fellows"
"38",57,1996,21872,8,2008,175000,729,729,"Gilbert","Fellows"
"39",70,1997,11207,6,2006,185000,802,802,"Gilbert","Fellows"
"40",134,2005,19378,3,2006,320000,1392,1392,"Gilbert","Northwood"
"41",50,2006,14859,8,2006,240000,1670,1670,"Gilbert","Northwood"
"42",50,2005,13128,1,2006,250000,1074,1074,"Gilbert","Northwood"
"43",72,2005,10463,6,2006,239900,893,901,"Gilbert","Northwood"
"44",42,2005,13751,5,2006,309000,1700,1700,"Gilbert","Northwood"
"45",42,2006,14892,10,2009,377500,1746,1746,"Gilbert","Northwood"
"46",168,2006,23257,9,2006,274725,868,887,"Gilbert","Northwood"
"47",NA,1995,8530,5,2009,168500,384,804,"Gilbert","Fellows"
"48",NA,1997,13869,7,2007,177000,794,794,"Gilbert","Fellows"
"49",57,1997,8773,8,2007,169000,916,916,"Gilbert","Fellows"
"50",56,1997,8872,3,2007,161500,384,754,"Gilbert","Fellows"
"51",41,2000,5330,8,2007,251000,1494,1652,"StoneBr","Northwood"
"52",28,2004,7296,11,2009,375000,2208,2522,"StoneBr","Northwood"
"53",41,2001,4923,8,2008,286000,1593,1593,"StoneBr","Northwood"
"54",41,2001,4920,4,2010,213500,1338,1338,"StoneBr","Northwood"
"55",40,2000,5664,10,2009,278000,1501,1659,"StoneBr","Northwood"
"56",45,1997,6264,7,2008,247900,1664,1682,"StoneBr","Northwood"
"57",61,1998,7380,7,2009,240000,1418,1478,"StoneBr","Northwood"
"58",41,1993,5395,10,2008,180000,1337,1337,"StoneBr","Northwood"
"59",43,1992,5005,1,2010,191500,1280,1280,"StoneBr","Northwood"
"60",39,1992,5070,8,2008,180000,1280,1280,"StoneBr","Northwood"
"61",57,1995,8013,9,2009,239500,1587,1734,"StoneBr","Northwood"
"62",39,1995,5389,3,2010,236500,1595,1616,"StoneBr","Northwood"
"63",68,1994,13108,12,2006,270000,2062,2079,"StoneBr","Northwood"
"64",NA,1993,8076,7,2006,183500,1160,1169,"Gilbert","Fellows"
"65",NA,1994,10147,3,2007,160000,392,924,"Gilbert","Fellows"
"66",100,1997,10839,7,2008,181000,926,926,"Gilbert","High"
"67",57,1998,8923,2,2009,177500,384,751,"Gilbert","High"
"68",NA,1999,8637,4,2007,180000,923,947,"Gilbert","High"
"69",63,1996,7875,8,2007,178750,691,691,"Gilbert","Fellows"
"70",63,1995,7875,6,2007,176000,1237,1253,"Gilbert","Fellows"
"71",74,1998,10141,12,2009,185000,832,885,"Gilbert","High"
"72",60,1998,7500,10,2009,191000,952,952,"Gilbert","High"
"73",60,1999,7500,6,2010,189000,994,1028,"Gilbert","High"
"74",60,1999,7500,8,2007,204000,938,957,"Gilbert","High"
"75",73,1998,11184,4,2008,183000,932,932,"Gilbert","High"
"76",75,1993,10000,4,2010,175900,763,763,"Gilbert","Fellows"
"77",NA,1993,7685,5,2006,165600,697,697,"Gilbert","Fellows"
"78",59,1993,7837,5,2009,178000,799,799,"Gilbert","Fellows"
"79",NA,1993,9765,4,2009,185000,680,680,"Gilbert","Fellows"
"80",NA,1992,9556,8,2007,160000,1168,1187,"Gilbert","Fellows"
"81",NA,1995,8000,6,2008,188000,773,773,"Gilbert","Fellows"
"82",NA,1994,8803,7,2009,181316,707,707,"Gilbert","Fellows"
"83",58,1993,7250,11,2009,166000,1181,1190,"Gilbert","Fellows"
"84",NA,1992,9636,12,2009,178000,808,808,"Gilbert","Fellows"
"85",65,1994,8125,3,2009,174000,702,702,"Gilbert","Fellows"
"86",NA,1994,10832,10,2008,194500,712,1086,"Gilbert","Fellows"
"87",NA,1991,14067,9,2008,185000,836,851,"Gilbert","Fellows"
"88",NA,1991,10784,5,2007,160000,384,802,"Gilbert","Fellows"
"89",NA,1992,9125,7,2007,163900,384,812,"Gilbert","High"
"90",NA,1992,9248,7,2009,173000,1158,1167,"Gilbert","Fellows"
"91",NA,1993,7655,7,2007,168000,903,910,"Gilbert","Fellows"
"92",NA,1992,7980,3,2010,185000,1168,1187,"Gilbert","Fellows"
"93",NA,1999,10762,5,2009,225000,978,1005,"Gilbert","High"
"94",63,1998,9084,6,2006,176500,935,955,"Gilbert","High"
"95",63,1998,8402,5,2010,180400,789,789,"Gilbert","High"
"96",160,1964,18160,3,2007,154204,1302,1128,"Gilbert","Fellows"
"97",85,1990,10176,2,2010,171500,1300,1341,"Gilbert","Fellows"
"98",99,1990,11851,5,2009,180500,1424,1442,"Gilbert","Fellows"
"99",30,1987,3701,8,2006,130000,1191,1204,"StoneBr","Fellows"
"100",NA,1986,3696,10,2007,170000,1074,1088,"StoneBr","Fellows"
"101",NA,1984,5814,8,2009,187500,1220,1360,"StoneBr","Northwood"
"102",NA,1984,5062,9,2007,207500,1190,1190,"StoneBr","Northwood"
"103",NA,1985,6820,6,2010,212000,1488,1502,"StoneBr","Northwood"
"104",40,1988,4671,10,2008,189000,1228,1228,"StoneBr","Northwood"
"105",65,1989,5950,4,2008,188500,1337,1337,"StoneBr","Northwood"
"106",38,1988,4740,10,2007,182000,1166,1179,"StoneBr","Northwood"
"107",35,1990,5118,8,2007,212000,1312,1321,"StoneBr","Northwood"
"108",44,1987,5306,6,2006,239000,1064,1064,"StoneBr","Northwood"
"109",NA,1985,6563,12,2006,275000,1742,1742,"StoneBr","Fellows"
"110",101,2005,13543,7,2008,355000,1168,1168,"StoneBr","Northwood"
"111",59,2005,16023,3,2006,457347,1398,1414,"StoneBr","Northwood"
"112",60,2006,18062,9,2006,545224,1528,1528,"StoneBr","Northwood"
"113",63,2006,12292,7,2006,356383,1094,1102,"StoneBr","Northwood"
"114",86,2005,14157,7,2007,377426,1922,1922,"StoneBr","Northwood"
"115",85,2005,16056,7,2006,556581,1992,1992,"StoneBr","Northwood"
"116",82,2006,12438,7,2006,361919,1234,1264,"StoneBr","Northwood"
"117",77,2005,11198,6,2008,325000,1122,1134,"StoneBr","Northwood"
"118",98,2005,12328,7,2007,349265,1149,1164,"StoneBr","Northwood"
"119",53,2004,15401,9,2008,387000,1884,1884,"StoneBr","Northwood"
"120",63,2008,17423,7,2009,501837,2216,2234,"StoneBr","Northwood"
"121",82,2006,16052,7,2006,535000,1850,1850,"StoneBr","Northwood"
"122",92,2005,15922,1,2006,401179,1390,1390,"StoneBr","Northwood"
"123",66,2006,13682,10,2006,438780,1410,1426,"StoneBr","Northwood"
"124",47,2003,53504,6,2010,538000,1650,1690,"StoneBr","Northwood"
"125",52,2006,51974,6,2007,591587,2660,2338,"StoneBr","Northwood"
"126",152,1988,12134,6,2010,164000,559,1080,"Gilbert","Northwood"
"127",NA,1948,14762,5,2006,169000,0,1547,"Gilbert","Northwood"
"128",NA,1952,31220,5,2008,115000,1632,1474,"Gilbert","Northwood"
"129",195,1969,41600,11,2007,155000,1100,1424,"Gilbert","Northwood"
"130",100,1955,34650,1,2006,145000,1056,1056,"Gilbert","Northwood"
"131",61,2006,8035,3,2007,319900,1612,1612,"StoneBr","Northwood"
"132",60,2007,8089,10,2007,392000,1419,1419,"StoneBr","Northwood"
"133",60,2007,8118,7,2008,334000,1710,1710,"StoneBr","Northwood"
"134",60,2005,8147,8,2006,318000,1714,1714,"StoneBr","Northwood"
"135",80,2008,11844,7,2009,372500,2046,2046,"StoneBr","Northwood"
"136",69,2005,11302,8,2006,319000,1814,1826,"StoneBr","Northwood"
"137",85,2006,14082,1,2007,441929,2220,2234,"StoneBr","Northwood"
"138",81,2006,13870,10,2007,455000,1742,2042,"StoneBr","Northwood"
